Year,Course,Grade,value
2017,MATH 141A Calculus & Analytic Geom. I,A-,1
2017,MATH 141B Calculus & Analytic Geom. II,C,1
2019,KNS 489 Seminar in Kineslgy&Nutrition,A,1
2021,KNS 435 Psychology of Sport & Leisure,B,1
2021,KNS 275 Concepts of Healthy Living,A-,1
2021,PSYC 242 Child Psychology,B-,1
2021,PHYS 135B Algebra-based Phys II (EMP),B-,1
2021,PHYS 135A Algebra-based Phys I (MWO),C+,1
2021,KNS 440 Motor Learning & Control,A-,1
2018,REL 307 Religion and the Body,A-,1
2017,ANTH 210 Cultural Anthropology,A,1
2017,ANTH 214 Peoples&Cultures of Lat Amer.,A,1
2017,BIOL 300A Human Physiology & Anatomy I,A,1
2017,BIOL 302 Applied Human Anatomy and Phys,B,1
2018,KNS 311 Biomechanics,A,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A-,1
2021,EDUC 605 Introduction Education Inquiry,A-,1
2021,EDUC 507 MS Curr & Ped: Math & Science,A,1
2019,INTD 290 A - Classical Greece and Rome,C-,1
2021,CHDV 330 Middle Childhood,C,1
2021,CHDV 497 Senior Seminar in Child Dev.,C,1
2021,"SOC 242 Crime, Justice, and Rebellion",D,1
2021,CHDV 315 Infancy through Early Chldhd,B,1
2021,"CHDV 211 Child, Family & Community",C+,1
2021,CHDV 490 Special Topics in CHDV,A-,1
2018,BSAD 390 Negotiation Strategies,B+,1
2021,CHEM 471A Biochemistry I,C,1
2021,CHEM 472 Biochemistry Laboratory,B,1
2021,CHEM 496 Research,B,1
2021,CHEM 231A Organic Chemistry I,C,1
2021,CHEM 231B Organic Chemistry II,C+,1
2021,CHEM 233A Organic Chemistry Laboratory,C+,1
2021,CHEM 233B Organic Chemistry II Lab,C-,1
2021,CHEM 486 Integrated Laboratory,C,1
2021,CHEM 491 Seminar,C+,1
2021,CHEM 321A Physical Chemistry I,C,1
2021,PSYC 336 Cognitive Psychology,B-,1
2016,MATH 141A Calculus & Analytic Geom. I,D,1
2021,COSC 190 AI Computer Vision & Cognition,B-,1
2016,PHYS 150 Calculus-Based Phys I (Mech),C,1
2016,PHYS 135B Algebra-based Phys II (EMP),C,1
2016,CHEM 220A Quantitative Analysis Theory,C,1
2016,CHEM 220B Quantitative Analysis Lab,B,1
2017,MATH 141A Calculus & Analytic Geom. I,B,1
2021,EDUC 504 Scnd Lang Acquisition Methdlgy,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A-,1
2021,EDUC 605 Introduction Education Inquiry,A-,1
2021,EDUC 507 MS Curr & Ped: Math & Science,A,1
2021,EDUC 530 Found in Special Education,A,1
2018,ENST 321 China: Environment/History,C,1
2021,ENVS 352 Long-term Environmental Change,D,1
2016,SPAN 484 Latina Literary and Critical V,A,1
2017,ANTH 290 Latino/a Peoples and Cultures,A,1
2017,EDUC 506 Learning and Learners,A-,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 507 MS Curr & Ped: Math & Science,A,1
2016,"EDUC 505 MS Curr & Ped: LA w H-SS, V&PA",A,1
2016,EDUC 502 Literacy Devlp in Elem School,A,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2019,ENGL 373 African-American Literary Trad,F,1
2017,EDUC 406 Learning and Learners,F,1
2017,PSYC 214 Statistics,F,1
2017,PSYC 214L Statistics - SPSS,F,1
2018,SOC 245 Green Politics,A-,1
2019,BSAD 489 Management Strategy and Policy,A,1
2019,BSAD 395 Independent Studies,A,1
2021,ART 219 Ceramic Sculpture Workshop,A,1
2020,BSAD 350 International Business,A,1
2021,BSAD 310 Business Finance I,A,1
2018,REL 230 Green Religion,A,1
2018,BSAD 390 Negotiation Strategies,A,1
2021,BSAD 320 Marketing Principles,A,1
2016,BSAD 341 Management Information Systems,A,1
2021,"GEN 290 Gender, Sexuality, and Islam",D,1
2018,ENST 245 Green Politics,B,1
2019,BSAD 489 Management Strategy and Policy,C,1
